GRID_ID,2020,2025,2030,2035,2040,2045,2050
4173,0.6,0.6,0.6,0.6,0.6,0.6,0.6
4174,0.6,0.6,0.6,0.6,0.6,0.6,0.6
4175,0.83,0.83,0.83,0.83,0.83,0.83,0.83
4179,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4184,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4185,0.55,0.55,0.55,0.55,0.55,0.55,0.55
4186,0.6,0.6,0.6,0.6,0.6,0.6,0.6
4187,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4188,0.98,0.78,0.78,0.78,0.78,0.78,0.78
4189,0.6,0.6,0.6,0.6,0.6,0.6,0.6
4190,0.53,0.53,0.53,0.53,0.53,0.53,0.53
4193,0.7,0.7,0.7,0.7,0.7,0.7,0.7
4200,0.85,0.85,0.85,0.85,0.85,0.85,0.85
4201,1.2,1.2,1.2,1.2,1.2,1.2,1.2
4202,1.22,1.22,1.22,1.22,1.22,1.22,1.22
4203,0.46,0.46,o,o,o,o,o
4209,0.43,0.23,0.23,0.23,0.23,0.23,0.23
4216,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4217,0.6,0.6,0.6,0.6,0.6,0.6,0.6
4218,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4219,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4220,0.46,0.46,0.46,0.46,0.46,0.46,0.46
4231,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4232,0.83,0.83,0.83,0.83,0.83,0.83,0.83
4233,0.6,0.6,0.6,0.6,0.6,0.6,0.6
4234,0.45,0.45,0.45,0.45,0.45,0.45,0.45
4235,0.53,0.53,0.53,0.53,0.53,0.53,0.53
4236,1.66,1.66,1.66,1.66,1.66,1.66,1.66
4237,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4250,0.98,0.98,0.98,0.98,0.98,0.98,0.98
4251,1.75,1.75,1.75,1.75,1.75,1.75,1.75
4252,1.13,1.13,1.13,1.13,1.13,1.13,1.13
4270,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4271,0.76,0.76,0.76,0.76,0.76,0.76,0.76
4272,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4273,1.06,1.06,1.06,1.06,1.06,1.06,1.06
4274,1.66,1.66,1.66,1.66,1.66,1.66,1.66
4275,0.45,0.45,0.45,0.45,0.45,0.45,0.45
4281,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4290,0.46,0.46,0.46,0.46,0.46,0.46,0.46
4291,0.76,0.76,0.76,0.76,0.76,0.76,0.76
4292,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4295,1.52,1.52,1.52,1.52,1.52,1.52,1.52
4296,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4297,0.46,0.46,0.46,0.46,0.46,0.46,0.46
4303,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4309,0.33,0.33,0.33,0.33,0.33,0.33,0.33
4310,0.54,0.54,0.54,0.54,0.54,0.54,0.54
4313,0.6,0.6,0.6,0.6,0.6,0.6,0.6
4316,0.6,0.6,0.6,0.6,0.6,0.6,0.6
4317,0.69,0.69,0.69,0.69,0.69,0.69,0.69
4318,0.89,0.89,0.69,0.69,0.69,0.69,0.69
4333,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4335,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4336,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4337,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4339,0.53,0.53,0.53,0.53,0.53,0.53,0.53
4340,1.21,1.21,1.21,1.21,1.21,1.21,1.21
4341,0.9,0.9,0.9,0.9,0.9,0.9,0.9
4348,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4356,1.09,1.09,1.09,1.09,1.09,1.09,1.09
4357,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4359,0.23,0.23,0.23,0.23,0.23,0.23,0.23
4362,1,1,1,1,1,1,1
4363,1.29,1.29,1.29,1.29,1.29,1.29,1.29
4364,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4377,0.6,0.6,0.6,0.6,0.6,0.6,0.6
4378,0.6,0.6,0.6,0.6,0.6,0.6,0.6
4379,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4383,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4384,0.6,0.6,0.6,0.6,0.6,0.6,0.6
